,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
1/14/22,1/21/22,6,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5594798,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
1/14/22,1/21/22,7,Eazy,The Game,5391525,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
1/14/22,1/21/22,8,STAY (with Justin Bieber),The Kid LAROI,5308041,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
1/14/22,1/21/22,9,abcdefu,GAYLE,4972048,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
1/14/22,1/21/22,10,Sacrifice,The Weeknd,4858327,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
1/14/22,1/21/22,11,Fingers Crossed,Lauren Spencer-Smith,4345288,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
1/14/22,1/21/22,12,Easy On Me,Adele,4336468,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
1/14/22,1/21/22,13,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,4283299,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
1/14/22,1/21/22,14,P power (feat. Drake),Gunna,4270838,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
1/14/22,1/21/22,15,Need to Know,Doja Cat,4202760,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
1/14/22,1/21/22,16,Out of Time,The Weeknd,3873266,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
1/14/22,1/21/22,17,Knife Talk (with 21 Savage ft. Project Pat),Drake,3870216,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
1/14/22,1/21/22,18,I Love You So,The Walters,3821243,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
1/14/22,1/21/22,19,The Family Madrigal,Stephanie Beatriz,3812570,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
1/14/22,1/21/22,20,good 4 u,Olivia Rodrigo,3786277,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
1/14/22,1/21/22,21,Cold Heart - PNAU Remix,Elton John,3749917,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
1/14/22,1/21/22,22,Lost,Frank Ocean,3666667,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
1/14/22,1/21/22,23,Kiss Me More (feat. SZA),Doja Cat,3652938,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
1/14/22,1/21/22,24,What Else Can I Do?,Diane Guerrero,3635633,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
1/14/22,1/21/22,25,Dark Red,Steve Lacy,3632672,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
1/14/22,1/21/22,26,I Hate U,SZA,3627858,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
1/14/22,1/21/22,27,Is There Someone Else?,The Weeknd,3619148,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
1/14/22,1/21/22,28,Broadway Girls (feat. Morgan Wallen),Lil Durk,3430832,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
1/14/22,1/21/22,29,Woman,Doja Cat,3415821,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
1/14/22,1/21/22,30,Shivers,Ed Sheeran,3327135,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
1/14/22,1/21/22,31,family ties (with Kendrick Lamar),Baby Keem,3294937,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
1/14/22,1/21/22,32,Sweater Weather,The Neighbourhood,3230826,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
1/14/22,1/21/22,33,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,3213774,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
1/14/22,1/21/22,34,Meet Me At Our Spot,THE ANXIETY,3021982,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
1/14/22,1/21/22,35,Gasoline,The Weeknd,2979214,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
1/14/22,1/21/22,36,Smokin Out The Window,Bruno Mars,2908181,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
1/14/22,1/21/22,37,Sky,Playboi Carti,2890412,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
1/14/22,1/21/22,38,One Right Now (with The Weeknd),Post Malone,2855638,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
1/14/22,1/21/22,39,Waiting On A Miracle,Stephanie Beatriz,2855311,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
1/14/22,1/21/22,40,Dos Oruguitas,Sebastian Yatra,2806404,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
1/14/22,1/21/22,41,thought i was playing,Gunna,2775514,https://open.spotify.com/track/3XLbDUB5BX2WqL2qoAsvtb
1/14/22,1/21/22,42,Ghost,Justin Bieber,2755586,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
1/14/22,1/21/22,43,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2747046,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
1/14/22,1/21/22,44,Way 2 Sexy (with Future & Young Thug),Drake,2723212,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
1/14/22,1/21/22,45,Happier Than Ever,Billie Eilish,2709031,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
1/14/22,1/21/22,46,Less Than Zero,The Weeknd,2667741,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA
1/14/22,1/21/22,47,RAPSTAR,Polo G,2662458,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
1/14/22,1/21/22,48,Softcore,The Neighbourhood,2626683,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
1/14/22,1/21/22,49,By Your Side,Rod Wave,2590380,https://open.spotify.com/track/2AaJeBEq3WLcfFW1y8svDf
1/14/22,1/21/22,50,How Do I Make You Love Me?,The Weeknd,2569704,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
1/14/22,1/21/22,51,traitor,Olivia Rodrigo,2562482,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
1/14/22,1/21/22,52,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2556384,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
1/14/22,1/21/22,53,Bad Habits,Ed Sheeran,2546917,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
1/14/22,1/21/22,54,Oh My God,Adele,2512936,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
1/14/22,1/21/22,55,Levitating (feat. DaBaby),Dua Lipa,2511429,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
1/14/22,1/21/22,56,MONTERO (Call Me By Your Name),Lil Nas X,2491614,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
1/14/22,1/21/22,57,No Role Modelz,J. Cole,2485635,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
1/14/22,1/21/22,58,You Right,Doja Cat,2449904,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
1/14/22,1/21/22,59,Pepas,Farruko,2413089,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
1/14/22,1/21/22,60,2055,Sleepy Hallow,2411028,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
1/14/22,1/21/22,61,Freaks,Surf Curse,2387329,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
1/14/22,1/21/22,62,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2381736,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
1/14/22,1/21/22,63,Surround Sound (feat. 21 Savage & Baby Tate),JID,2381553,https://open.spotify.com/track/0cp97b37sFNsdIbQH6po3T
1/14/22,1/21/22,64,Take My Breath,The Weeknd,2379377,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
1/14/22,1/21/22,65,Infinity,Jaymes Young,2355627,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
1/14/22,1/21/22,66,20 Min,Lil Uzi Vert,2324610,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
1/14/22,1/21/22,67,"Here We Go… Again (feat. Tyler, the Creator)",The Weeknd,2318905,https://open.spotify.com/track/1NhjYYcYTRywc0di98xHxf
1/14/22,1/21/22,68,505,Arctic Monkeys,2314477,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
1/14/22,1/21/22,69,Blinding Lights,The Weeknd,2278352,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
1/14/22,1/21/22,70,Space Song,Beach House,2269997,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
1/14/22,1/21/22,71,Wants and Needs (feat. Lil Baby),Drake,2252858,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
1/14/22,1/21/22,72,THATS WHAT I WANT,Lil Nas X,2242872,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
1/14/22,1/21/22,73,YKWIM?,Yot Club,2236710,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
1/14/22,1/21/22,74,Get Into It (Yuh),Doja Cat,2213649,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
1/14/22,1/21/22,75,drivers license,Olivia Rodrigo,2201620,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
1/14/22,1/21/22,76,Do It To It,ACRAZE,2190757,https://open.spotify.com/track/20on25jryn53hWghthWWW3
1/14/22,1/21/22,77,Best Friends,The Weeknd,2179507,https://open.spotify.com/track/1E5Xu8dur0fAjSP1VpVhAZ
1/14/22,1/21/22,78,Lucid Dreams,Juice WRLD,2171445,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
1/14/22,1/21/22,79,I AM WOMAN,Emmy Meli,2168239,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
1/14/22,1/21/22,80,deja vu,Olivia Rodrigo,2156997,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
1/14/22,1/21/22,81,Good Days,SZA,2139317,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
1/14/22,1/21/22,82,All Girls Are The Same,Juice WRLD,2120590,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
1/14/22,1/21/22,83,love nwantiti (ah ah ah),CKay,2117014,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
1/14/22,1/21/22,84,Alien Blues,Vundabar,2112806,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
1/14/22,1/21/22,85,All Of You,Stephanie Beatriz,2101065,https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2
1/14/22,1/21/22,86,Daddy Issues,The Neighbourhood,2097791,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
1/14/22,1/21/22,87,Jugaste y Sufrí,Eslabon Armado,2082773,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
1/14/22,1/21/22,88,Mr. Rager,Kid Cudi,2075970,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
1/14/22,1/21/22,89,Hrs and Hrs,Muni Long,2071276,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
1/14/22,1/21/22,90,The Spins,Mac Miller,2062582,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
1/14/22,1/21/22,91,See You Again (feat. Kali Uchis),"Tyler, The Creator",2025386,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
1/14/22,1/21/22,92,Toxic,BoyWithUke,2021998,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
1/14/22,1/21/22,93,Pursuit Of Happiness (Nightmare),Kid Cudi,2015587,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
1/14/22,1/21/22,94,Martin & Gina,Polo G,2003904,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
1/14/22,1/21/22,95,Tell Em,Cochise,1990833,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
1/14/22,1/21/22,96,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1971118,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
1/14/22,1/21/22,97,Love & War,Kodak Black,1957223,https://open.spotify.com/track/1WGmhglF1ghRiHsx4YUq86
1/14/22,1/21/22,98,Die For You,The Weeknd,1941734,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
1/14/22,1/21/22,99,Already Dead,Juice WRLD,1938801,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
1/14/22,1/21/22,100,Bad Man (Smooth Criminal),Polo G,1938501,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
1/14/22,1/21/22,101,Praise God,Kanye West,1917954,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
1/14/22,1/21/22,102,Miss The Rage (feat. Playboi Carti),Trippie Redd,1915577,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
1/14/22,1/21/22,103,Big Energy,Latto,1905862,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
1/14/22,1/21/22,104,Fair Trade (with Travis Scott),Drake,1896845,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
1/14/22,1/21/22,105,SLOW DANCING IN THE DARK,Joji,1896038,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
1/14/22,1/21/22,106,Beggin',Måneskin,1891285,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
1/14/22,1/21/22,107,NEW MAGIC WAND,"Tyler, The Creator",1885898,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
1/14/22,1/21/22,108,Buy Dirt,Jordan Davis,1883233,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
1/14/22,1/21/22,109,My Universe,Coldplay,1859155,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
1/14/22,1/21/22,110,Money Trees,Kendrick Lamar,1857063,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
1/14/22,1/21/22,111,Streets,Doja Cat,1851584,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
1/14/22,1/21/22,112,Fancy Like,Walker Hayes,1851274,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
1/14/22,1/21/22,113,Mr. Brightside,The Killers,1851107,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
1/14/22,1/21/22,114,Work Out,J. Cole,1834847,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
1/14/22,1/21/22,115,Notion,The Rare Occasions,1834052,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
1/14/22,1/21/22,116,25k jacket (feat. Lil Baby),Gunna,1807073,https://open.spotify.com/track/0boodYr1uIpSVmGSP65Fmk
1/14/22,1/21/22,117,Ain't Shit,Doja Cat,1799163,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
1/14/22,1/21/22,118,Shoota (feat. Lil Uzi Vert),Playboi Carti,1792861,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
1/14/22,1/21/22,119,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1788273,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
1/14/22,1/21/22,120,Yonaguni,Bad Bunny,1777987,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
1/14/22,1/21/22,121,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1777393,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
1/14/22,1/21/22,122,Looking Out for You,Joy Again,1772659,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
1/14/22,1/21/22,123,Man in the Mirror,A Boogie Wit da Hoodie,1772422,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
1/14/22,1/21/22,124,No Love (with SZA),Summer Walker,1762777,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk
1/14/22,1/21/22,125,WHERE WE ARE,The Lumineers,1752075,https://open.spotify.com/track/4MTmAFWHpvB9kPMSRgLFRp
1/14/22,1/21/22,126,Starry Eyes,The Weeknd,1748795,https://open.spotify.com/track/6zzdyvVWjGrQBraSvuqJPY
1/14/22,1/21/22,127,Save Your Tears,The Weeknd,1744963,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
1/14/22,1/21/22,128,Burn,Juice WRLD,1738741,https://open.spotify.com/track/0QwKxajohg1rAMMmv1AWe1
1/14/22,1/21/22,129,Circles,Post Malone,1736959,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
1/14/22,1/21/22,130,Leave The Door Open,Bruno Mars,1735129,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
1/14/22,1/21/22,131,Star Shopping,Lil Peep,1734431,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
1/14/22,1/21/22,132,we fell in love in october,girl in red,1726580,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
1/14/22,1/21/22,133,XO Tour Llif3,Lil Uzi Vert,1723029,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
1/14/22,1/21/22,134,Jocelyn Flores,XXXTENTACION,1719945,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
1/14/22,1/21/22,135,Lost in the Fire (feat. The Weeknd),Gesaffelstein,1717288,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
1/14/22,1/21/22,136,I Heard You’re Married (feat. Lil Wayne),The Weeknd,1713552,https://open.spotify.com/track/5XbA7TAqsD0fj0dGBrbb0D
1/14/22,1/21/22,137,Dandelions,Ruth B.,1711254,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
1/14/22,1/21/22,138,For Tonight,Giveon,1706576,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
1/14/22,1/21/22,139,telepatía,Kali Uchis,1704422,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
1/14/22,1/21/22,140,Redbone,Childish Gambino,1702231,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
1/14/22,1/21/22,141,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,1698044,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
1/14/22,1/21/22,142,Heather,Conan Gray,1694608,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
1/14/22,1/21/22,143,Come & Go (with Marshmello),Juice WRLD,1685094,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
1/14/22,1/21/22,144,Heartbreak Anniversary,Giveon,1674999,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
1/14/22,1/21/22,145,Life Goes On,Oliver Tree,1670085,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
1/14/22,1/21/22,146,Me or Sum (feat. Future & Lil Baby),Nardo Wick,1666103,https://open.spotify.com/track/2HHLfzE7PkljuqyYU4vwmh
1/14/22,1/21/22,147,Robbery,Juice WRLD,1662163,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
1/14/22,1/21/22,148,mop (feat. Young Thug),Gunna,1657798,https://open.spotify.com/track/2ZGEjmwyeZ3rpEezkZwqOP
1/14/22,1/21/22,149,Washing Machine Heart,Mitski,1654266,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu
1/14/22,1/21/22,150,favorite crime,Olivia Rodrigo,1653607,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
1/14/22,1/21/22,151,It'll Be Okay,Shawn Mendes,1650318,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
1/14/22,1/21/22,152,Flower Shops (feat. Morgan Wallen),ERNEST,1646286,https://open.spotify.com/track/2ccuOtUjIyx3tPcsnpeBzJ
1/14/22,1/21/22,153,Whiskey Glasses,Morgan Wallen,1644455,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
1/14/22,1/21/22,154,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,1641164,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
1/14/22,1/21/22,155,Today (feat. Gunna),Cordae,1640057,https://open.spotify.com/track/7z3rc7SCgjbAztt1cbXkVj
1/14/22,1/21/22,156,Electric Love,BØRNS,1639360,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
1/14/22,1/21/22,157,my ex's best friend (with blackbear),Machine Gun Kelly,1638899,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
1/14/22,1/21/22,158,The Hills,The Weeknd,1638299,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
1/14/22,1/21/22,159,Wasted On You,Morgan Wallen,1637649,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
1/14/22,1/21/22,160,Wishing Well,Juice WRLD,1637387,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
1/14/22,1/21/22,161,DÁKITI,Bad Bunny,1629657,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
1/14/22,1/21/22,162,Dreams - 2004 Remaster,Fleetwood Mac,1627043,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
1/14/22,1/21/22,163,Heartless,Kanye West,1625839,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
1/14/22,1/21/22,164,goosebumps,Travis Scott,1612554,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
1/14/22,1/21/22,165,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1610144,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
1/14/22,1/21/22,166,"Colombia, Mi Encanto",Carlos Vives,1609000,https://open.spotify.com/track/2Q5q1q01KOdHt5fM00WUJ8
1/14/22,1/21/22,167,She Knows (feat. Amber Coffman & Cults),J. Cole,1608258,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
1/14/22,1/21/22,168,LOVE. FEAT. ZACARI.,Kendrick Lamar,1607194,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
1/14/22,1/21/22,169,Yes Indeed,Lil Baby,1602808,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
1/14/22,1/21/22,170,too easy,Gunna,1590841,https://open.spotify.com/track/2Hph3X77ySNgBCIak5CMc6
1/14/22,1/21/22,171,Mood (feat. iann dior),24kGoldn,1587802,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
1/14/22,1/21/22,172,Moth To A Flame (with The Weeknd),Swedish House Mafia,1586342,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
1/14/22,1/21/22,173,Not Allowed,TV Girl,1585288,https://open.spotify.com/track/0jA4h2SD50Oak4C3Vn905a
1/14/22,1/21/22,174,Love Sosa,Chief Keef,1573919,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
1/14/22,1/21/22,175,BRIGHTSIDE,The Lumineers,1559593,https://open.spotify.com/track/63q3GlHZstxXzfb0zt7ZYY
1/14/22,1/21/22,176,poochie gown,Gunna,1557274,https://open.spotify.com/track/5UwA4sYMyaLALd3F2hUgjR
1/14/22,1/21/22,177,Sand In My Boots,Morgan Wallen,1554952,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
1/14/22,1/21/22,178,1 Scale (feat. G Herbo),Young Dolph,1549507,https://open.spotify.com/track/5gmkw2031VVIboYqPIjSWB
1/14/22,1/21/22,179,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1547326,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
1/14/22,1/21/22,180,Fuck Love (feat. Trippie Redd),XXXTENTACION,1542768,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
1/14/22,1/21/22,181,Watermelon Sugar,Harry Styles,1536879,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
1/14/22,1/21/22,182,Don’t Break My Heart,The Weeknd,1535361,https://open.spotify.com/track/6a4GH1gljLL7VvmO9u5O92
1/14/22,1/21/22,183,LOT OF ME,Lil Tecca,1533397,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB
1/14/22,1/21/22,184,Everybody Talks,Neon Trees,1531624,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
1/14/22,1/21/22,185,how you did that (feat. Kodak Black),Gunna,1528837,https://open.spotify.com/track/49W1ZqawgaAwbIY3Hlrp0K
1/14/22,1/21/22,186,Girls Want Girls (with Lil Baby),Drake,1526021,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
1/14/22,1/21/22,187,Jumpin (feat. Polo G),NLE Choppa,1524992,https://open.spotify.com/track/1z7LV5wkExwW8YJk0IrPUA
1/14/22,1/21/22,188,The Motto,Tiësto,1524340,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
1/14/22,1/21/22,189,Bound 2,Kanye West,1521084,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
1/14/22,1/21/22,190,you broke me first,Tate McRae,1515175,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
1/14/22,1/21/22,191,Get You (feat. Kali Uchis),Daniel Caesar,1514954,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ
1/14/22,1/21/22,192,Flashing Lights,Kanye West,1507447,https://open.spotify.com/track/31I3Rt1bPa2LrE74DdNizO
1/14/22,1/21/22,193,Talking to the Moon,Bruno Mars,1503418,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
1/14/22,1/21/22,194,No Idea,Don Toliver,1501826,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
1/14/22,1/21/22,195,Cigarette Daydreams,Cage The Elephant,1500056,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
1/14/22,1/21/22,196,Bring The Hook,YoungBoy Never Broke Again,1498618,https://open.spotify.com/track/1giI9yVIG71xY8lPwSDzWY
1/14/22,1/21/22,197,The Less I Know The Better,Tame Impala,1491343,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
1/14/22,1/21/22,198,MIDDLE CHILD,J. Cole,1488056,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
1/14/22,1/21/22,199,Smells Like Teen Spirit - Remastered,Nirvana,1486487,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
1/14/22,1/21/22,200,Classic,MKTO,1483922,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
1/7/22,1/14/22,1,Sacrifice,The Weeknd,8743544,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
1/7/22,1/14/22,2,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,8721760,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
1/7/22,1/14/22,3,Gasoline,The Weeknd,6843953,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
1/7/22,1/14/22,4,Out of Time,The Weeknd,6705491,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
1/7/22,1/14/22,5,Is There Someone Else?,The Weeknd,6683755,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
